bird_id,event_id,start_lat,start_lon,end_lat,end_lon,displacement_km,total_distance_km,route_tortuosity,max_dist_from_breeding_km,bearing_mean,bearing_std,duration_days,start_month,end_month,start_doy,end_doy,avg_daily_distance_km,movement_hour_mode,avg_speed_ms,max_speed_ms,speed_std,n_gps_fixes,fix_rate_per_day,heading_consistency,avg_temperature,temp_std,min_temperature,max_temperature,avg_battery_v,min_battery_v,battery_depletion_rate,avg_horiz_accuracy,avg_time_to_fix,avg_altitude_m,max_altitude_m,min_altitude_m,altitude_range_m,altitude_std,n_rest_stops,avg_rest_duration_hrs,movement_consistency_ratio,long_flight_segments,max_consecutive_movement_hrs,Migration_Success
GREG_8,2,38.273088,-122.9183991,38.2700179,-122.9259927,0.7456393261646157,107.01762990198063,143.5246588353284,36.330657553924,31.200743659652332,101.09085514956641,5.815960648148148,9,9,246,252,18.400679849176072,16.0,0.5952173913043478,18.94,1.4663598025509423,1656,284.733700962589,0.38742886083382816,15.306159420289855,7.302351447374651,1.0,41.0,3930.3115942028985,3848.0,7.393447549149352,13.333128019323672,9.041666666666666,32.29323671497585,585.7,-899.3,1485.0,62.69762078512655,206,2.9271844660194173,0.2669082125603865,39,8.0,1
GREG_8,3,38.2718578,-122.9168606,38.2614363,-122.9276075,1.4910238210083497,48.18120212052594,32.31417328258508,36.57849938370453,19.332326835018062,113.99994237449731,2.0381944444444446,9,9,256,258,23.63915879167201,15.0,0.7013745704467355,13.19,1.70129468789193,582,285.5468483816013,0.46592224848778613,15.261168384879726,6.426641837746079,2.0,38.0,3960.4329896907216,3940.0,2.943781942078364,12.42647766323024,9.594501718213058,43.71993127147766,396.2,-186.7,582.9,35.370938429243296,72,2.9791666666666665,0.26288659793814434,14,8.0,1
GREG_8,4,38.2534964,-122.9558491,38.2862849,-122.9022348,5.932934774038946,91.23405082538326,15.377558375426759,52.765819431989456,15.47814457204603,111.23975001501341,2.5208333333333335,9,9,265,267,36.192020162135506,2.0,0.7362900976290097,18.01,1.9694076228652035,717,284.42975206611567,0.4471982971529925,13.456066945606695,8.150116195900843,0.0,40.0,3972.269177126918,3933.0,23.801652892561982,14.467698744769875,10.506276150627615,43.885774058577404,566.7,-245.2,811.9000000000001,41.66184023081737,103,2.5388349514563107,0.26638772663877264,11,4.5,1
GREG_8,5,38.2473863,-122.9581072,38.2562263,-122.9473213,1.3613495481139228,63.01165762271758,46.28617074139178,36.54725951188337,5.473005277894493,113.2073100264506,2.6979050925925927,9,9,268,271,23.355772519842635,2.0,0.6014044213263979,16.2,1.7526948310718107,769,285.03597184029104,0.5066003459503619,12.037711313394018,7.1162140979896416,4.0,39.0,3948.4252275682707,3909.0,32.6179005486939,13.104629388816644,9.820546163849155,44.198179453836154,214.6,-161.8,376.4,29.55947389046862,85,3.711764705882353,0.17685305591677503,8,4.0,1
GREG_8,6,38.2474927,-122.9579713,38.2490603,-122.969248,1.0000497915125168,270.0989261271863,270.08547816271977,53.04782666647603,21.81665105014707,109.2355170313728,15.965081018518518,9,10,272,288,16.918105571395976,2.0,0.5249219265449747,14.33,1.2755362602734233,4547,284.8090776818331,0.368505799349727,16.199472179458983,7.547300306220847,-1.0,43.0,3912.936221684627,3852.0,-2.943924928754378,10.636751704420497,8.139212667692984,12.25300197932703,342.9,-294.4,637.3,36.618786773590465,530,3.306603773584906,0.22410380470639982,81,7.5,1
GREG_8,7,38.2575503,-122.9440657,38.2614575,-122.9298076,1.3185349860283144,2461.5535239591864,1866.8852552588442,52.58526148471397,31.459640948302262,102.53985450467057,153.11475694444445,10,3,289,77,16.076526998977158,15.0,0.5883968117491227,19.38,1.293527831974425,43033,281.050637174142,0.3953969934733046,11.013942788092859,6.207124050150196,-5.0,41.0,3900.7584876722517,3796.0,-0.2873661616820173,13.212985150930681,9.07763809169707,19.558306416006324,1187.8,-1100.3,2288.1,46.02545805239918,5533,2.7970359660220496,0.2751609230125717,1106,11.0,1
GREG_8,8,38.2786993,-122.9381651,38.269623,-122.9115746,2.5311099935554817,139.04463462998052,54.93425215972649,36.338410709810546,21.377909455702817,108.92008804111695,8.73611111111111,3,3,81,90,15.916079003749758,14.0,0.5301890587288817,15.65,1.3435800416899337,2486,284.56597774244835,0.4724954515191904,12.496379726468222,5.719516076725972,0.0,38.0,3965.389782783588,3939.0,0.6868044515103339,11.285012067578439,8.888576025744168,18.008608205953337,423.5,-140.2,563.7,46.06079202189059,270,3.562962962962963,0.22003218020917137,46,7.0,1
GREG_8,9,38.2446333,-122.9618944,38.2679978,-122.9280472,3.9349728361665113,48.63933622239537,12.360780683248702,36.304350375173826,32.287911172234814,97.56150553098563,1.9930324074074075,4,4,92,94,24.40468907661506,14.0,0.5874119718309859,12.55,1.4936196435182851,568,284.99285705989615,0.4422344639328122,14.084507042253522,4.197072899126871,2.0,30.0,3959.6584507042253,3937.0,3.5122359144705513,10.81105633802817,9.264084507042254,23.09137323943662,239.9,-89.1,329.0,41.682400579145394,74,2.918918918918919,0.23943661971830985,6,3.5,1
GREG_8,10,38.2700542,-122.9252314,38.2943328,-122.8590249,6.378302220801444,329.48527728089834,51.657206867111725,45.95072369313757,17.495164496569256,108.0550232353901,25.892337962962962,4,5,95,121,12.725203793964152,2.0,0.470318803780505,17.73,1.211793607471287,7089,273.78755870328433,0.4018479223690946,18.34617012272535,8.738734270667239,2.0,49.0,3932.8676823247283,3848.0,0.6951863530341541,11.497048949076033,8.573141486810552,6.496543941317534,527.2,-579.1,1106.3000000000002,44.957216251415595,747,3.789156626506024,0.19565524051347158,107,11.5,1
GREG_8,11,38.2891311,-122.8722474,38.247665,-122.9582594,8.811579083425327,699.8412107190919,79.42290525832091,49.652426912146794,18.186511593491065,108.41064980817711,62.77783564814815,12,2,340,38,11.147902814641496,20.0,0.4531049549130799,15.41,1.0956653197857504,10757,171.35028452223034,0.43318216112735997,15.009203309472902,5.2888320986470765,0.0,45.0,3898.980198940225,3807.0,-0.22300864398170725,12.646472994329272,10.663474946546435,7.809965603792878,754.4,-616.2,1370.6,38.160575046566684,1216,3.4954769736842106,0.20377428651110904,157,7.5,1
GREG_8,12,38.278617,-122.9108977,38.2773029,-122.9192196,0.7409664641415376,57.6102291321197,77.7501168003133,36.291788821116945,15.939019692303741,105.26171011393754,2.0590509259259258,2,2,39,41,27.979021017274356,17.0,0.83332,22.24,2.1453984353711517,500,242.83032231228432,0.35198303178646795,15.502,6.9234286106996805,-1.0,40.0,3916.3,3874.0,-6.79924902474396,13.361540000000002,10.162,28.6318,231.5,-235.5,467.0,39.53196835225394,60,3.033333333333333,0.268,15,5.0,1
GREG_8,13,38.2637243,-122.9257965,38.2789183,-122.9372986,1.9653561699403836,449.76396817118405,228.84603567038283,45.49102190640898,19.53777921778497,104.54988117552045,24.43752314814815,3,3,63,88,18.404646225583903,2.0,0.5690982729634724,16.39,1.3892888327077304,6543,267.74399190679935,0.4337933586481964,14.551734678282134,6.39017509841103,0.0,40.0,3941.564267155739,3853.0,-0.9411755790702102,14.822916093535076,11.135564725661013,9.793840745835242,327.9,-335.4,663.3,49.0974220753538,823,3.034021871202916,0.23185083295124562,113,10.5,1
GREG_8,14,38.2941933,-122.8358604,38.3151453,-122.8997047,6.038430735786108,205.12024985254138,33.96913185356559,43.13927503052326,24.411804492660746,105.09871643384751,15.35414351851852,1,1,3,19,13.359276576068691,23.0,0.5638228782287823,17.8,1.4596742602713673,2710,176.49958766710034,0.34637294489599096,14.693726937269373,6.0917615081076875,0.0,38.0,3905.142435424354,3826.0,-0.9118059879481198,12.188568265682658,9.625461254612546,8.687158671586715,302.9,-238.6,541.5,25.406267288647147,345,2.9985507246376812,0.22988929889298892,47,7.0,1
GREG_8,15,38.2935936,-122.8697508,38.2611962,-122.9811112,10.366735468403434,330.95223285874476,31.924440810460293,46.937851070601944,24.878945338978376,106.70827670314215,33.033993055555555,1,2,20,53,10.018535521944303,22.0,0.4884443808979125,13.86,1.0168385037291412,6994,211.72130139513274,0.4132480284261474,13.235487560766371,7.157790858090973,-3.0,43.0,3916.159136402631,3839.0,1.1503302048920567,13.000559050614813,9.69831283957678,-0.5446954532456392,3472.1,-265.0,3737.1,50.031366863903074,841,3.0980975029726516,0.24978553045467544,161,12.0,1
GREG_8,16,38.2734485,-122.9347038,38.2664255,-122.9283051,0.9601433981042066,300.69742227949337,313.17970094177326,45.95199347825016,8.274766548269726,113.20331817036802,34.62863425925926,3,4,70,104,8.683490663484388,1.0,0.4292092908327156,17.51,0.8833834439752087,8094,233.73719966549842,0.4644570304415802,18.182357301704968,10.42648468690752,0.0,48.0,3921.7194217939214,3843.0,3.6386072594332592,15.11119100568322,11.117865085248333,4.423214726958241,930.5,-581.9,1512.4,40.98570781558247,980,3.2193877551020407,0.21559179639238943,118,7.0,1
GREG_8,17,38.2924524,-122.8919786,38.2722872,-122.9121528,2.8510534863727663,109.90701978851892,38.54961694469906,46.890470029293375,6.058556297722706,111.56254615752495,7.9201041666666665,4,5,115,123,13.876966448381383,10.0,0.4576829883897022,13.75,1.1377591534995772,1981,250.1229729196533,0.4196191996666394,19.870267541645635,10.993838006824756,0.0,45.0,3924.8621908127207,3857.0,3.030263175200242,14.998682483594145,10.562342251388188,2.718929833417466,297.9,-803.1,1101.0,56.55677580056324,225,3.506666666666667,0.19737506309944472,26,7.0,1
